id	name
365	Richards, e.a.
366	Rodríguez, CR.
367	Trevor, e.a.
368	Katzung, Bertram,Trevor
369	Whalen, e.a.
370	Mandell, Douglas and Bennet
371	Carey, e.a.
372	Carroll, e.a.
373	Engleberg, N.C.
374	Murray, e.a.
375	Murray, e.a.
376	Abbas, e.a.
377	Abbas, e.a.
378	Bauman, R.
379	Goering, e.a.
380	Goering, e.a.
381	Cuello, G.
382	Gordis, L.
383	Ruiz, M.
384	Ajetunmobi, O.
385	De Irala, E.J.
386	Fletcher, e.a.
387	Greenhalgh
388	Hulley, e.a.
389	Merrill, R. M.
390	Moore, &.M.
391	Rothman, K.J.
392	Straus, e.a.
393	Szklo, &.N.
394	Weiss, N.L.
395	Brady, H.
396	Cockerham, C. William
397	Gabe, Bury, Mike, & Elston, Mary Ann
398	Browner, C. H.
399	Canguilhem, G.
400	Canguilhem, G.
401	Castro, R. & Bronfman
402	Conrad, P.
403	Durkheim, E.
404	Duarte, NE.
405	Foucault, M.
406	Foucault, M.
407	Gaete, J.
408	Good, B.
409	Good, B.
410	Illich, I.
411	Kottow, M.
412	Mechanic, D.
413	Morsy, Soheir A.
414	Schepper-Hughes, Nancy & Lock, Margaret
415	Sanchez, MA.
416	McGee, G.
417	Gracia, D.
418	Ameneiros et al.
419	Aristóteles
420	Clavé E.
421	Couceiro A.
422	Drane, J.
423	Couceiro A.
424	Gómez, J.
425	Gracia, D
426	Herranz Rodriguez, G.
427	McGee, G.
428	Meckler, A.
429	Randels, P. &.
430	Ministerio de Salud
431	Sanchez, MA.
432	Santos de Unamuno, C.
433	Vaughn, L.
434	Euliano & Gravenstein 
435	Jiménez Murillo y Montero Pérez
436	Giménez, M.
437	Quíck et al
438	Kumar & Clark
439	Ian Wilkinson
440	Mandell, J.
441	Hampton, J.
442	Pagana et al
443	Arancibia y Ugarte
444	Caimi y Caimi
445	Herrera et al
446	Jiménez Murillo y Montero Pérez
447	Rivas Jiménez, M
448	Brunicardi et al
449	Burdiles, P.
450	Carvajal, C.
451	Doherty, G.M.
452	Espinoza R.
453	Parrilla Paricio y Landa García
454	Townsend et al
455	Argente & Alvarez
456	Nicola Zammit
457	Benjamín, I.
458	Bhat et al
459	Bickley
460	Douglas et al
461	Goic et al
462	Kasper, e.a.
463	Laso, F.J.
464	Lorenzo, e.a.
465	McGee, S.
466	Pérez Arellano, A.J.
467	Prieto Valtueña, JM
468	Raftery et al
469	López., R.
470	Surós y Surós
471	Walker, e.a.
472	Hampton, J.
473	Herring, W.
474	Houghton & Gray
475	Laposata, M.
476	Smith & Farrell
477	Kumar & Clark
478	Lindsay & Bone
479	Black & Andreasen
480	Argente & Alvarez
481	Bickley
482	Douglas et al.
483	Hammer & McPhee
484	Kasper et al
485	Kemper, e.a.
486	Kumar, e.a.
487	Kumar y Clark
488	Laso FJ.
489	Ian Wilkinson
490	McGee, S.
491	Pérez Arellano, A.J.
492	Prieto Valtueña, JM
493	López., R.
494	Silbernal, &.L.
495	Stryer & Rubin
496	Surós y Surós
497	Walker, e.a.
498	Adams, A.
499	Alvarez, V. & Antuña, R.
500	Aminoff et al
501	Biller, J.
502	Barinagarrementeria
503	Blumenfeld, H.
504	Fuller, G.
505	Greenberg et al
506	Haines, D.
507	López-Escobar, FM.
508	Mumenthaler et al
509	Ropper et al
510	Vergara, E. & Fonck, L.
511	Weiner et al.
512	Wilkinson & Lennox
513	Yañez, A.
514	Zarranz, JJ.
515	Carlat D.
516	Cowen et al
517	Ganti & Kaufman
518	Owen et al
519	Semple & Smyth
520	Shea CS.
521	Valdivia, Mario
522	Vallejo Ruiloba J.
523	VVAA
524	VVAA
525	Beaglehole & Bonita
526	Gestal-Otero & Fernández-Crehuet
527	Alvarez-Dardett & Colomer
528	Frías Osuna, A.
529	Málaga & Restrepo
530	Pinger & McKenzie
531	Schneider, M.
532	Turnock, B.
533	Cunningham G., Redstone, C.
534	Soars L.
535	Marks J.
536	Murphy R.
537	Cunningham G., Redstone, C.
538	McCarter
539	McCarthy, M., McCarten, J. & Sandiford, H.
540	Murphy R.
541	Alexander, L.G.
542	Murphy J.
543	Murphy, R. & Altman, R.
544	Andormo & Ivone
545	Oneto & Fischer
546	Toy et al
547	Annas, G.
548	Gracia, D.
549	Johnson et al
550	McGee, G.
551	Murphy, T.
552	Pence, G.
553	Randels & Pierce
554	Sanchez, MA.
555	Vaughn, L.
556	Euliano & Gravenstein 
557	Jiménez Murillo y Montero Pérez
558	Giménez, M.
559	Quíck et al
560	Kumar & Clark
561	Ian Wilkinson
562	Mandell, J.
563	Hampton, J.
564	Pagana et al
565	Arancibia y Ugarte
566	Caimi y Caimi
567	Herrera et al
568	Jiménez Murillo y Montero Pérez
569	Rivas Jiménez, M
570	Brunicardi et al
571	Burdiles, P.
572	Carvajal, C.
573	Doherty, G.M.
574	Espinoza R.
575	Parrilla Paricio y Landa García
576	Townsend et al
577	Argente & Alvarez
578	Nicola Zammit
579	Benjamín, I.
580	Bhat et al
581	Bickley
582	Douglas et al
583	Goic et al
584	Kasper, e.a.
