asignatura	semestre	detalle	tipoBibliografia	copias	id	disponibilidad	carrera	
Gestión de La Informática	PRIMERO	Luque, C. M. J.|2001|Microsoft PowerPoint 2002: O/fice XP|Madrid: Anaya Multimedia	COMPLEMENTARIA	5	21010	1	asistenteGeologia	
Confección de Preparados	SEGUNDO	Jiménez, J., & Velilla, N.|2004|Óptica mineral: Una herramienta informática para el estudio de los minerales en el microscopio petrográfico. Enseñanza de las Ciencias de la Tierra|0	OBLIGATORIA	0	0	0	asistenteGeologia	
Confección de Preparados	SEGUNDO	Kerr, P. F.|1965|Mineralogía óptica|0	OBLIGATORIA	1	21689	1	asistenteGeologia	
Confección de Preparados	SEGUNDO	Cornelis Klein|Manual de Mineralogía vol.1|4|0	COMPLEMENTARIA	0	0	0	asistenteGeologia	
Confección de Preparados	SEGUNDO	Cornelis Klein|Manual de Mineralogía vol.2|4|0	COMPLEMENTARIA	0	0	0	asistenteGeologia	
Confección de Preparados	SEGUNDO	Heinrich, E. W.|1977|Identificación microscópica de los minerales|Urrno, SA de Ediciones	COMPLEMENTARIA	6	10146	1	asistenteGeologia	
Confección de Preparados	SEGUNDO	García, M.C.|2004|Guía de minerales de Andalucía. Boletín de la Asociación Provincial de Museos Locales de Córdoba|0	COMPLEMENTARIA	0	0	0	asistenteGeologia	
Geología General	SEGUNDO	Tarbuck, E. J., & Lutgens, F. K.|2005|Ciencias de la Tierra|Universitario	OBLIGATORIA	3	25951	1	asistenteGeologia	
Geología General	SEGUNDO	Edwards, T.|2005|Ciencias de la Tierra. Una introducción a la geología física|0	OBLIGATORIA	1	27471	1	asistenteGeologia	
Geología General	SEGUNDO	Barettino, D., Wimbledon, W. A1 P., & Gallego, E.|2000|Patrimonio geológico: conservación y gestión|IGME	COMPLEMENTARIA	0	0	0	asistenteGeologia	
Geología General	SEGUNDO	Mourgues. F. A., Schilling, M., & Castro, C.|2012|Propuesta de definición de los Contextos Geológicos Chilenos para la caracterización del patrimonio geológico nacional|In XIII Congreso Geol. Chileno, Antofagasta	COMPLEMENTARIA	0	0	0	asistenteGeologia	
Gestión Ambiental y Seguridad	SEGUNDO	Gonzalez, M. R.|2003|Manual básico de prevención de riesgos laborales|Madrid, España: Thomson Paraninfo.	OBLIGATORIA	2	22714	1	asistenteGeologia	
Gestión Ambiental y Seguridad	SEGUNDO	Fernandez, B. P.|2013|Manual de derecho ambiental chileno: Colección tratados y manuales|Santiago de Chile: Legal Publishing.	OBLIGATORIA	1	26865	1	asistenteGeologia	
Taller I Petrografía y Mineralogía	SEGUNDO	Dorado, A. C.|2015|Petrografía de rocas ígneas y metamórficas|Ediciones Paraninfo	OBLIGATORIA	0	0	0	asistenteGeologia	
Taller I Petrografía y Mineralogía	SEGUNDO	Tarbuck, E. J., & Lutgens, F. K.|2005|Ciencias de la Tierra|Universitario	OBLIGATORIA	3	25951	1	asistenteGeologia	
Taller I Petrografía y Mineralogía	SEGUNDO	Dana, J. D., & Hurlbut, C.|1960|Manual de mineralogía|0	OBLIGATORIA	0	0	0	asistenteGeologia	
