PLANILLA DE NECESIDADES BIBLIOGRAFICAS 2022						
						
CARRERA:	TÉCNICO UNIVERSITARIO EN ADMINISTRACIÓN DE EMPRESAS					
						
						
ASIGNATURA	SEMESTRE	DETALLE DE BIBLIOGRAFÍA 	TIPO DE BIBLIOGRAFIA	CANTIDAD DE COPIAS	NRO DE BIB	Disponibilidad
Taller 11 Aplicaciones Tics 		"• Colmenar, S. A. (2007). Gesrión de proyectos con Microsoft Project 2007. México: Alfaornega."	COMPLEMENTARIA	0	22930	0
Inglés II 		UDA English Center. (2018). Material propio elaborado por académicos.	OBLIGATORIA	0		0
Inglés II 		• Hill, H. (2016). Diccionario Cambridge Pocket (10ª ed.). Cambridge, United Kingdom: Cambridge University Press.	COMPLEMENTARIA	0	28320	0
Inglés II 		• Marks, J. (2007). English Pronunciation in Use Elementary. Cambridge University Press.	COMPLEMENTARIA	0	28421	0
Inglés II 		"• McCarthy, M., McCarten, J., & Sandiford, H. (2014). ""Touchstone 1"" (2nd ed.). Cambridge University Press."	COMPLEMENTARIA	0	28297	0
Inglés II 		• Murphy, R. (2015). English Grammar in Use Elementary. Cambridge University Press.	COMPLEMENTARIA	0	26240	0
Inglés II 		• Wilson, K. (2016). Smart Choice 1 (3rd ed.). Oxford University Press.	COMPLEMENTARIA	0	27243	0
Inglés II 		• Wilson, K., & Healy, T. (2016). Smart Choice Starter (3rd ed.). Oxford University Press.	COMPLEMENTARIA	0	27243	0
Innovación y Emprendimiento		Femández, S. E. (201 O). Estrategia de innovación. Madrid: Paraninfo.	OBLIGATORIA	0	19246	0
Innovación y Emprendimiento		• Koontz, H., Weihrich, H., Sánchez, S. G. A., & Gómez, M. J. (2013). Elementos de administración: Un enfoque internacional de innovación.	OBLIGATORIA	0	27178	0
Innovación y Emprendimiento		• Yarela, R. (2008). Innovación empresarial: Arte y ciencia en la creación de empresas. Bogotá, D.C., Colombia: Pearson Educación.	OBLIGATORIA	0	22110	0
Innovación y Emprendimiento		• Cohen, K. D., & Asín, L. E. (2009). Tecnologías de información en los negocios. México: McGraw-Hill	OBLIGATORIA	0	22735	0
Innovación y Emprendimiento		• Kelley, T., & Littman, J. (201 O). Las Diez caras de la innovación: Estrategias para una creatividad excelente. Barcelona: Paidós.	COMPLEMENTARIA	0	247441	0
