RESUMEN DE BIBLIOGRAFÍA CONSINADA (LIBROS)				
				
				
Tipo de Bibliografía	Titulos consignados	Titulos disponibles en Btca.	% de cobertura	
Gestión del Capital Humano 	• Dressler G. ( 1996), Administración de Personal (6a. ed.). México: Ed. Prentice.	OBLIGATORIA	0	10866
Formulación y Evaluación de Proyectos	Sapag, N. (2011 ). Proyectos de inversión: Formulación y evaluación. Chile: PEARSON.	OBLIGATORIA	0	24740
Formulación y Evaluación de Proyectos	• Ocarnpo, S. J. E. (2007). Costos y evaluación de proyectos.	COMPLEMENTARIA	0	22159
Formulación y Evaluación de Proyectos	• Baca, G. (2006). Evaluación de proyectos. México: McGraw-1-lill.	COMPLEMENTARIA	0	22553
Taller 111 Empresas 	Maximiano, A. C. A., & Chávez, S. J. L. (2008). Administración para emprendedores: Fundamentos para la creación y gestión de nuevos negocios. México: Pearson Educación.	OBLIGATORIA	0	24725
Taller 111 Empresas 	Dessler, G., Varela, J. R., Pineda, A. L. E., & Campos, O. V. (2011). Administración de recursos humanos: Enfoque latinoamericano.	OBLIGATORIA	0	
Taller 111 Empresas 	• Varela, R. (2008). lnnovación empresarial: Arte y ciencia en la creación de empresas. Bogotá, D.C., Colombia: Pearson Educación.	COMPLEMENTARIA	0	22110
Taller 111 Empresas 	• Costa, M., & López, M. E. (2009). Los secretos de la dirección: Liderar y fortalecer personas y equipos. Madrid: Pirámide.	COMPLEMENTARIA	0	22151
Taller 111 Empresas 	• Sapag, C. N. (2011). Proyectos de inversión formulación y evaluación. México: Prentice-Hall.	COMPLEMENTARIA	0	24740
Proyecto de Titulación 	Tugendhat, E., Vicuña, A.M., & López, C. (2001). El libro de Manuel y Camita: Diálogos sobre ética. Barcelona: Gedisa Editorial.	OBLIGATORIA	0	
Proyecto de Titulación 	• Muñoz, R. C. (201 1 ). Cómo elaborar y asesorar una investigación de tesis (2a. ed.). Naucalpan de Juárez: Pearson Educación.	OBLIGATORIA	0	24839
Proyecto de Titulación 	• Hernández, S. R., & Fernández, C. C. B. L. M. P. (January O 1, 201 O). Metodología de la investigación.	COMPLEMENTARIA	0	25115
Practica Laboral 	Barbera, E. (2008). El estilo e-portafolio. Barcelona: UOC.	OBLIGATORIA	0	25975
Practica Laboral 	"Klenowski, V. (2014). Desarrollo de portafolios para el aprendizaje y la evaluación.Madrid: Narcea Edición.
"	OBLIGATORIA	0	22639
Practica Laboral 	Valles, M. M. S. (2009). Técnicas cualitativae investigación social: Reflexión metodológica y práctica profesional. Madrid: Síntesis.	COMPLEMENTARIA	0	14923
Practica Laboral 	Adler, R. 8., Elrnhorst, J. M., Mascaró, S. P., & González, P. J. R. (2005). Comunicación organizacional: Principios y prácticas para negocios y profesiones. México: McGraw-Hill.	COMPLEMENTARIA	0	20977
