PLANILLA DE NECESIDADES BIBLIOGRAFICAS 2022						
						
CARRERA:	Técnico Universitario en Minas					
						
						
ASIGNATURA	SEMESTRE	DETALLE DE BIBLIOGRAFÍA 	TIPO DE BIBLIOGRAFIA	CANTIDAD DE COPIAS	NRO DE BIB	Disponibilidad
Métodos de Explotación 	TERCERO	Novitzky, A (1975). Métodos de explotación subterránea y planificación de minas	COMPLEMENTARIA	0	301	0
Aplicación de Softwares Mineros 	TERCERO	Chanes, M. (2005). Manual avanzado de AutoCAD 2006. Madrid: Anaya Multimedia.	OBLIGATORIA	0	20890	0
Aplicación de Softwares Mineros 	TERCERO	"Rojo, D. (2017)""Análisis de incertidumbre en el proceso de planificación de largo plazo de Panel Caving en el Software Vulcan"""	OBLIGATORIA	0	27247	0
Aplicación de Softwares Mineros 	TERCERO	Godoy. C. (2001). Análisis, operación y aplicación del software ventsim. 	COMPLEMENTARIA	0	15843	0
Técnicas de Muestreo Minero 	TERCERO	Anderson, J. (1987). Introducción a la Topografía. México, McGraw-Hill	NO INDICA	0	2742	0
Técnicas de Muestreo Minero 	TERCERO	- Davis, R. y Foote F. ( 1971). Tratado de Topografía. Valencia, España, Ed. Aguilar.	NO INDICA	0	2393	0
Técnicas de Muestreo Minero 	TERCERO	- Valdés, D. F. (1993). Topografía. Barcelona, Ceac.	NO INDICA	0	12298	0
Técnicas de Muestreo Minero 	TERCERO	- Hidalgo, M. (1990). Topografía de interior minas. Copiapó, Chile, Universidad de Atacama.	NO INDICA	0	17936	0
Técnicas de Muestreo Minero 	TERCERO	- Ta ton, R. (1981). Minería: Topografia subterránea. Madrid, España, Paraninfo.	NO INDICA	0	163	0
Técnicas de Muestreo Minero 	TERCERO	- Wirshing, J. R. (2011). Teoría y problemas de introducción a la topografia. México, McGraw-Hill Jnteramericana.	NO INDICA	0	2534	0
Técnicas de Muestreo Minero 	TERCERO	- McCormac, J. C. (1981). Topografía. Madrid, España, Prentice/Hall Internacional.	NO INDICA	0	2459	0
Técnicas de Muestreo Minero 	TERCERO	- Fernández, L. y Universidad de León. (1990). Topografía minera. León, Ed. Universidad de León.	NO INDICA	0	7728	0
Técnicas de Muestreo Minero 	TERCERO	- Llamas, Z. (1989). Ajuste de aparatos topográficos. México, Limusa.	NO INDICA	0	24266	0
Proyecto de Titulación 	CUARTO	Tugendhat, E., Vicuña, A.M., & Lopez, C. (2001). El libro de Manuel y Camilo: Diálogos sobre ética. Barcelona: Gedisa Editorial.	OBLIGATORIA	0		0
Proyecto de Titulación 	CUARTO	Muñoz, R. C. (2011). Cómo elaborar y asesorar una investigación de tesis (2a. ed.). Naucalpan de Juárez: Pearson Educación.	OBLIGATORIA	0	24839	0
Proyecto de Titulación 	CUARTO	Naupas, P. H., Valdivia, D.M. R., Palacios, V. J. J., & Romero, D. H. E. (2018). Metodología de la investigación: Cuantitativa-cualitativa y redacción de la tesis.	COMPLEMENTARIA	6	27861	1
Proyecto de Titulación 	CUARTO	Hernández, S. R., & Fernández, C. C. B. L. M. P. Qanuary 01, 2010). Metodología de la investigación.	COMPLEMENTARIA	0	25115	0
Proyecto de Titulación 	CUARTO	Barberá, E. (2008). El estilo e-portafolio. Barcelona: UOC.	OBLIGATORIA	0	25975	0
Proyecto de Titulación 	CUARTO	Klenowski, V. (2014). Desarrollo de portafolios para el aprendizaje y la evaluación. Madrid: Narcea Edición.	OBLIGATORIA	0	22639	0
Proyecto de Titulación 	CUARTO	Valles, M. M. S. (2009). Técnicas cualitativae investigación social: Reflexión metodológica y práctica profesional. Madrid: Síntesis.	OBLIGATORIA	0	14923	0
Proyecto de Titulación 	CUARTO	Adler, R. B., Elmhorst, J. M., Mascaró, S. P., & González, P. J. R. (2005). Comunicación organizacional: Principios y prácticas para negocios y profesiones. México: McGraw-Hill.	COMPLEMENTARIA	0	20977	0
