PLANILLA DE NECESIDADES BIBLIOGRAFICAS 2022						
						
CARRERA:	TÉCNICO UNIVERSITARIO ASISTENTE DE GEOLOGÍA.					
						
						
ASIGNATURA	SEMESTRE	DETALLE DE BIBLIOGRAFÍA 	TIPO DE BIBLIOGRAFIA	CANTIDAD DE COPIAS	NRO DE BIB	Disponibilidad
		Tarbuck, E. J., & Lutgens, F. K. (2005). Ciencias de la Tierra. Universitario, 32.	OBLIGATORIA	3	25951	1
		Kerr, P. F. (1965). Mineralogía óptica.	COMPLEMENTARIA	1	21689	1
		González Bonorino, F. (1976). Mineralogía óptica. EU DEBA Buenos Aires, 342.	COMPLEMENTARIA	1	26038	1
		Perkins, D., l Ienke, K. R., & Kevin, R. 11. (2002). Minerales en lámina delgada (No. 549.9).	COMPLEMENTARIA	1	26061	1
		Klein, C., & l lurlbut, C. S. (1997). Manual de mineralogía (Vol. 2). Reverté.	COMPLEMENTARIA	21	9793	1
		Kraus, 11., l lunt, E. F .. Ramsdell, W. S., & Alvargonzález, L. N. (1965). Mineralogía: Una introducción el estudio de minerales y cristales.	COMPLEMENTARIA	3	17038	1
Muestreo Geológico 		Cochran, W. G. (2015). TÉCNICAS DE MUESTREO. 3A.	OBLIGATORIA	10	3020	1
		López, C. P. (2007). Minería de datos: técnicas y herramientas. Editorial Paraninfo.	OBLIGATORIA	0		0
		Pérez López, C. E. S. A. R., & Gonzáles, D. S. (2007). Minería de datos. Técnicas y herramientas. Ediciones Paraninfo.	OBLIGATORIA	0		0
		Sironvalle, M. A. A. (2002). Introducción al muestreo minero. 	COMPLEMENTARIA	0		0
Taller 11 Logística y Campañas de Terreno. 		Christopher, M. (2000). Logística. Aspectos estratégicos. Limusa.	OBLIGATORIA	0		0
		Antun, P., De Buen Richkarday, O., & Aguerrebere Salido, R. (1995). Logística: Una visión sistémica. Documento técnico, (1'1}	OBLIGATORIA	0		0
		Ballou, R. H., & de Lemus, P. R. (1991). Logística empresarial: control y planificación (No.658 B36y.). Díaz de Santos.	OBLIGATORIA	1	636	1
		Cazull lmbert, l., Rodríguez Cabrera, A., Sanabria Ramos, G., & llernández Heredia, R. (2007). Enseñanza de los primeros auxilios a escolares de cuarto a noveno grados. Revista Cubana de Salud Pública, 33.	COMPLEMENTARIA	0		0
		J laddad, R. (1970). Riesgos y prevención en la industria minera. Curso de Medicina del Trabajo.	COMPLEMENTARIA	0		0
		Schmidt, S. J., & Aguirre, E. 13. (1977). Teoría del texto: problemas de una lingüística de la comunicación verbal.	COMPLEMENTARIA	0		0
		Abraharn, P. M.C. (1993). La prevención de riesgos en la ley de accidentes del trabajo y enfermedades profesionales no. 16.71'1·. Editorial Jurídica de Chile.	COMPLEMENTARIA	0		0
		"Silvia Maturana, Primeros Auxilios (Incluye Cd) Helvio Soto Salles, Riesgos Y Peligros: Exploraciones Geologicas Para La Minería En
Gran Altura Geografica"	COMPLEMENTARIA	1	28736	1
Inglés II 	SEGUNDO	DA English Center. (2018). Material propio elaborado por académicos.	OBLIGATORIA	0		0
Inglés II 	SEGUNDO	• Hill, H. (2016). Diccionario Cambridge Pocket (10ª ed.). Cambridge, United Kingdom: Cambridge University Press.	COMPLEMENTARIA	20	28320	1
Inglés II 	SEGUNDO	• Marks, J. (2007). English Pronunciation in Use Elementary. Cambridge University Press.	COMPLEMENTARIA	2	28421	1
Inglés II 	SEGUNDO	"• McCarthy, M., McCarten, J., & Sandiford, H. (2014). ""Touchstone 1"" (2nd ed.). Cambridge University Press."	COMPLEMENTARIA	1	28297	1
Inglés II 	SEGUNDO	• Murphy, R. (2015). English Grammar in Use Elementary. Cambridge University Press.	COMPLEMENTARIA	2	26240	1
Inglés II 	SEGUNDO	• Wilson, K. (2016). Smart Choice 1 (3rd ed.). Oxford University Press.	COMPLEMENTARIA	3	27243	1
Inglés II 	SEGUNDO	• Wilson, K., & Healy, T. (2016). Smart Choice Starter (3rd ed.). Oxford University Press.	COMPLEMENTARIA	3	27245	1
Métodos de Explotación		Qui quia, R., & Jesus, E. (2019). Optimización del método de hundimiento por subniveles convencional en Sociedad Minera Corona SA, Unidad Yauricocha, Mina Cachi Cachi.	OBLIGATORIA	0		0
Métodos de Explotación		Bustillo Revuelta M. y López J imeno C. (1996). Recursos Minerales. Tipología, prospección,evaluación, explotación, mineralurgia e impacto ambiental. Ed. Gráficas Arias Montana.Madrid.	OBLIGATORIA	3	9850	1
Métodos de Explotación		Novitzky A. (1966). Transporte y extracción en minas y a cielo abierto. Buenos Aires.	OBLIGATORIA	3	276	1
Métodos de Explotación		Millan A. (1996) Evaluación y factibilidad de proyectos mineros. Ed Universitaria S.A. Santiago de Chile.	OBLIGATORIA	13	7324	1
Métodos de Explotación		Novitzky A. (1978). Prospección, exploración y evaluación. Buenos Aires	OBLIGATORIA	0		0
