PLANILLA DE NECESIDADES BIBLIOGRAFICAS 2022						
						
CARRERA:	TÉCNICO UNIVERSITARIO AUDITOR CONTABLE Y TRIBUTARIO					
						
						
ASIGNATURA	SEMESTRE	DETALLE DE BIBLIOGRAFÍA 	TIPO DE BIBLIOGRAFIA	CANTIDAD DE COPIAS	NRO DE BIB	Disponibilidad
Gestión de Contabilidad II 		Charles T. Horngren, Walter Harrison Jr. y M. Suzanne Oliver (201 O). Contabilidad, México: Pearson	OBLIGATORIA	23	69 - 22200 - 24722	1
Gestión de Contabilidad II 		• Julio Bosch Bousquet, Luis Vargas Valdivia (1991 ). Contabilidad. Santiago, Chile: Coopecultura, 1991	OBLIGATORIA	10	54	1
Gestión de Contabilidad II 		• José Fajardo Castro, (2018), Tri-Ley 2018 (cód. Tributario-lVA) 2018	OBLIGATORIA	0		0
Gestión de Contabilidad II 		• José Fajardo Castro, (2018), Impuesto a la Renta 2019 2018	OBLIGATORIA	0		0
Gestión de Contabilidad II 		• Aníbal lrarrázaval, (2018), Contribución, Fundamentos y Uso	OBLIGATORIA	0		0
Gestión de Contabilidad II 		• Humberto Varas C., (2018), Fundamentos de la Contabilidad de Costos NICS	OBLIGATORIA	2	28132	1
Gestión de Contabilidad II 		• Fernando Torres Cárdenas, (2018), Manual de Consultas IFRS Bienes de Uso	OBLIGATORIA	0		0
Gestión de Contabilidad II 		• Fernando Torres Cárdenas, (2013), Manual de Consultas IFRS Implementación NIIF para PYMES	OBLIGATORIA	2	28125	1
Gestión de Contabilidad II 		Boletines Técnicos Colegio de Contadores de Chile, (2018) Santiago, Chile 	COMPLEMENTARIA	0		0
Administración y Gestión en la Empresa 		"Koontz, H., & Weihrich, H. (2007). Elementos de edministrecion: Un enfoque internacional. México: McGraw-Hill.
"	OBLIGATORIA	10	27178	1
Administración y Gestión en la Empresa 		• Chiavenato, l., Mascaro, S. P., & In Mares, C. J. (2014). lntroduccion a la teoría general de la edministtecion. México: McGraw-Hill lnteramericana Editores.	OBLIGATORIA	10	2828-24557-26091	1
Administración y Gestión en la Empresa 		• Hill. Chiavenato, l. (2004). lntroducción a teoria general de la  administración. Rio de Janeiro: Elsevier.	OBLIGATORIA	10	2828 - 24557 - 26091	1
Administración y Gestión en la Empresa 		• Janes, G. R., George, J. M., & ProQuest. (2010). Administracion contemporanea  (6a. ed.). Distrito Federal: McGraw-Hill lnteramericana.	OBLIGATORIA	5	24714	1
Administración y Gestión en la Empresa 		• Robbins, S. P., & Coulter, M. (2006). Aoministrecion. México: Pearson.	OBLIGATORIA	11	10709 - 18926 -27470	1
