PLANILLA DE NECESIDADES BIBLIOGRAFICAS 2022						
						
ENERGÍAS RENOVABLES Y EFICIENCIA ENERGÉTICA "					
						
						
ASIGNATURA	SEMESTRE	DETALLE DE BIBLIOGRAFÍA 	TIPO DE BIBLIOGRAFIA	CANTIDAD DE COPIAS	NRO DE BIB	Disponibilidad
Inglés II 		• Marks, J. (2007). English Pronunciation in Use Elementary. Cambridge University Press.	COMPLEMENTARIA	12	27074	1
Inglés II 		"• McCarthy, M., McCarten, J., & Sandiford, H. (2014). ""Touchstone 1"" (2nd ed.). Cambridge University Press."	COMPLEMENTARIA	2	27276	1
Inglés II 		• Murphy, R. (2015). English Grammar in Use Elementary. Cambridge University Press.	COMPLEMENTARIA	2	26240	1
Inglés II 		• Wilson, K. (2016). Smart Choice 1 (3rd ed.). Oxford University Press.	COMPLEMENTARIA	3	27245	1
Inglés II 		• Wilson, K., & Healy, T. (2016). Smart Choice Starter (3rd ed.). Oxford University Press.	COMPLEMENTARIA	3	27245	1
Energía Eólica		Méndez, M. J., & Rodríguez, R. L. M. (2012). Energía eólica. Madrid: Fundación Confemetal.	OBLIGATORIA	6	26808	1
Energía Eólica		• Escudero, L. J. M., & Bornay, J. D. (2011). Manual de energía eólica: Investigación, diseño, promoción, construcción y explotación de distinto tipo de instalaciones.	OBLIGATORIA	1	27482	1
Energía Eólica		• Carta, G. J. A. (2013). Centrales de energías renovables: Generación eléctrica con energías renovables. Madrid: Pearson.	COMPLEMENTARIA	5	27464	1
Proyectos de ERNC y EE 		Ibáñez, P. M., Rosell, P. J. R., & Rosell, U. J. l. (2011). Tecnología solar. Madrid: Mundi-Prensa.	OBLIGATORIA	1	27145	1
Proyectos de ERNC y EE 		• Carta, G. J. A. (2013). Centrales de energías renovables: Generación eléctrica con energías renovables. Madrid: Pearson.	OBLIGATORIA	5	27464	1
Proyectos de ERNC y EE 		• Méndez, M. J., & Rodríguez, R. L. M. (2012). Energía eólica. Madrid: Fundación Confemetal.	OBLIGATORIA	6	26808	1
Proyectos de ERNC y EE 		• EVO, (2010). Protocolo internacional de medida y verificación: Conceptos y opciones para determinar el ahorro de energía y agua.	OBLIGATORIA	0	0	0
Proyectos de ERNC y EE 		• Schmidt, R. (2012). Aplicaciones de energía solar fotovoltaica: Diseño, implementación, experiencias. Chile: Salviat Impresores.	COMPLEMENTARIA	0	0	0
Proyectos de ERNC y EE 		• Vega, . K. J. C., & Ramírez, M. S. (2014). Fuentes de energía, renovables y no renovables: Aplicaciones. México, D.F: Alfaomega.	COMPLEMENTARIA	5	27167	1
Proyectos de ERNC y EE 		• Escudero, L. J. M., & Bornay, J. D. (2011). Manual de energía eólica: Investigación, diseño, promoción, construcción y explotación de distinto tipo de instalaciones.	COMPLEMENTARIA	1	27482	1
Proyectos de ERNC y EE 		• Chile. Ministerio de Energía. (2017). Energía 2050: Polltica energética de Chile. Santiago: Ministerio de Energía.	COMPLEMENTARIA	0	0	0
Seguridad Eléctrica		Mancera, F. M., & In Riaño, C. O. (2012). Seguridad e higiene industrial: Gestión de riesgos. Bogotá: Alfaomega colombiana.	OBLIGATORIA	2	25243	1
