PLANILLA DE NECESIDADES BIBLIOGRAFICAS 2022						
						
CARRERA:	Técnico Universitario en Minas					
						
						
ASIGNATURA	SEMESTRE	DETALLE DE BIBLIOGRAFÍA 	TIPO DE BIBLIOGRAFIA	CANTIDAD DE COPIAS	NRO DE BIB	Disponibilidad
Técnicas de Muestreo Minero 	TERCERO	- Fernández, L. y Universidad de León. (1990). Topografía minera. León, Ed. Universidad de León.	NO INDICA	1	7728	1
Técnicas de Muestreo Minero 	TERCERO	- Llamas, Z. (1989). Ajuste de aparatos topográficos. México, Limusa.	NO INDICA	1	24266	1
Proyecto de Titulación 	CUARTO	Tugendhat, E., Vicuña, A.M., & Lopez, C. (2001). El libro de Manuel y Camilo: Diálogos sobre ética. Barcelona: Gedisa Editorial.	OBLIGATORIA	0		0
Proyecto de Titulación 	CUARTO	Muñoz, R. C. (2011). Cómo elaborar y asesorar una investigación de tesis (2a. ed.). Naucalpan de Juárez: Pearson Educación.	OBLIGATORIA	1	24839	1
Proyecto de Titulación 	CUARTO	Naupas, P. H., Valdivia, D.M. R., Palacios, V. J. J., & Romero, D. H. E. (2018). Metodología de la investigación: Cuantitativa-cualitativa y redacción de la tesis.	COMPLEMENTARIA	9	27861	1
Proyecto de Titulación 	CUARTO	Hernández, S. R., & Fernández, C. C. B. L. M. P. Qanuary 01, 2010). Metodología de la investigación.	COMPLEMENTARIA	18	25115	1
Proyecto de Titulación 	CUARTO	Barberá, E. (2008). El estilo e-portafolio. Barcelona: UOC.	OBLIGATORIA	1	25975	1
Proyecto de Titulación 	CUARTO	Klenowski, V. (2014). Desarrollo de portafolios para el aprendizaje y la evaluación. Madrid: Narcea Edición.	OBLIGATORIA	1	22639	1
Proyecto de Titulación 	CUARTO	Valles, M. M. S. (2009). Técnicas cualitativae investigación social: Reflexión metodológica y práctica profesional. Madrid: Síntesis.	OBLIGATORIA	8	14923	1
Proyecto de Titulación 	CUARTO	Adler, R. B., Elmhorst, J. M., Mascaró, S. P., & González, P. J. R. (2005). Comunicación organizacional: Principios y prácticas para negocios y profesiones. México: McGraw-Hill.	COMPLEMENTARIA	9	20977	1
