BIBLIOGRAFIA INGENIERIA CIVIL INDUSTRIAL						
						
						
						
CARRERA:	INGENIERIA CIVIL INDUSTRIAL					
						
						
ASIGNATURA	SEMESTRE	DETALLE DE BIBLIOGRAFÍA 	TIPO DE BIBLIOGRAFIA	CANTIDAD DE COPIAS DISPONIBLES EN BIBLIOTECA 	NRO DE BIB# 	Prestamos 0
TECNICAS DE COMUNICACION	101	2. Chomsky Noam. Reflexiones acerca del Lenguaje. México 1986.	NO INDICA	1	3974	
TECNICAS DE COMUNICACION	101	3. Serafín María Teresa. Cómo estudiar. Argentina. 1994.	NO INDICA	0		
TECNICAS DE COMUNICACION	101	4. Mira Emilio y López. Cómo estudiar y cómo aprender. Argentina. 1980.	NO INDICA	3	2111	
TECNICAS DE COMUNICACION	101	5. Turner J.C. Redescubrir el grupo social. España. 1990.	NO INDICA	2	16658	0
CALCULO III	201	· Leithold, Luis. El Calculo, Harla.	NO INDICA	306	11253	
CALCULO III	201	· Edwards y Penny. Calculo. Prentice Hall.	NO INDICA	0		
CALCULO III	201	· Thomas – Finney. Calculo en Varias Variables. Addison Wesley.	NO INDICA	73	18169	
CALCULO III	201	· Leithold, Louis. El Calculo. México Oxford University Press Harta. 1998. 515 L533.	NO INDICA	306	11253	
CALCULO III	201	· Larson, Roland. Calculo y Geometría Analítica. Mc Graw Hill México. 2000. 515.15 L334c.	NO INDICA	118	15386	
CALCULO III	201	· Swokowski, Earl. Calculo con Geometría Analítica. Grupo Editorial Iberoamericana. 1989. 515.15 S979c.	NO INDICA	5	2977	
CALCULO III	201	· Zill, Dennis. Calculo con Geometría Analítica. Grupo Editorial Iberoamericana. 1987. 515.15 Z69.	NO INDICA	7	2660	
CALCULO III	201	· Thomas, George. Calculo con Geometría Analítica. Addison Wesley Iberoamericana México. 1987. 515.15 T456ca.	NO INDICA	7	2508	
CALCULO III	201	· Kreyszig, Erwin. Matemática Avanzada para Ingeniería. Limusa México. 1978. 510 K92.	NO INDICA	32	14575	0
CALCULO III	201	· Marsden, Jerrold. Calculo Vectorial. Addison Wesley Longman. 1998.	NO INDICA	36	18158	
CALCULO IV	202	· Mardsen – A. Tromba. Calculo Vectorial. Addison Wesley.	NO INDICA	36	18158	
