id	internalId	name	year	edition	obligatory	copies
164	0	Apuntes de Microscopía y Técnica Histológica, Departamento de Biología Celular y Tisular. Mexico UNAM	2012	0	0	0
165	0	Atlas de Histología y Organografía Microscópica	2010	0	0	5
166	0	Atlas de Histología	2014	0	0	0
167	0	Histología: Atlas en color de anatomía microscópica	1995	0	0	0
168	0	Histología para Estudiantes. Texto dibujado de Histología Especial	2015	0	0	0
169	0	Wheater's Functional Histology: A Text and Colour Atlas	2014	0	0	5
170	0	Un Sistema de Clasificación de los Diseños de Investigación en Psicología. Anales de Psicología, 1038-1059 (https://dx.doi.org/10.6018/analesps.29.3.178511)	2013	0	1	0
171	0	Lo Esencial en Investigación Clínica	2006	0	1	0
172	0	Introducción a la Metodología de la Investigación en Ciencias de la Salud	2011	0	1	6
173	0	Metodología de la Investigación Cientifíca y Bioestadística. Para Profesionales y Estudiantes de Ciencias de la Salud	2009	0	1	19
174	0	Métodos de Investigación 1 y 2	1998	0	0	0
175	0	Metodología de la Investigación	2014	0	0	25
176	0	Investigación en Sistemas y Servicios de Salud	2007	0	0	0
177	0	Metodología de la Investigación Cualitativa	1999	0	0	4
178	0	Metodología de la Investigación y Práctica Basada en la Evidencia. Consejería de Sanidad de Murcia	2012	0	0	0
179	0	Técnicas Cualitativas de Investigación Social. Reflexión Metodológica y Práctica profesional	1999	0	0	8
180	0	Face2Face. Starter Workbook with Key	2013	0	1	10
181	0	New Headway. Beginner Student's Book	2013	0	1	10
182	0	English Pronunciation in Use Elementary: Self-Study and Classroom use	2007	0	1	12
183	0	Essential Grammar in Use: A Self-Study Reference and Practice Book for Elementary Learners of English	2015	0	1	18
184	0	Longman English Grammar Practice	1990	0	0	0
185	0	New Headway Video. Beginner	2003	0	0	0
186	0	Grammar in Use	1993	0	0	1
187	0	Psicología Médica Salud Mental	2004	0	1	0
188	0	Psicología Médica	2008	0	1	0
189	0	Psicología Médica	2003	0	1	0
190	0	Comunicación Clínica: Principios y Habilidades para la Práctica	2015	0	1	5
191	0	Psychological Basis of Psiquiatría	2005	0	1	0
192	0	The Medical Interview: The Three Function Approach	2014	0	0	2
193	0	The Medical Interview: Mastering Skills for Clinical Practice	2006	0	0	0
194	0	Psicología Médica	2015	0	0	2
195	0	Behavioral Science BRS	2017	0	0	0
196	0	Psychology: The Science of Mind and Behaviour	2015	0	0	0
197	0	Psicología: la ciencia de la mente y el comportamiento	2014	0	0	0
198	0	Atkinson and Hildgard's Introduction to Psychology	2014	0	0	0
199	0	Neurociencia Cognitiva	2015	0	0	1
200	0	Communication Skills for the Health care Professional: Concepts, Practice and Evidence	2009	0	0	0
201	0	La Fisiopatología como Base Fundamental del Diagnóstico Clínico	2011	0	1	0
202	0	Manual de Diagnóstico Etiológico	1956	0	1	0
203	0	Fisiopatología y Patología General Básicas para Ciencias de la Salud	2013	0	1	0
204	0	Netter Anatomía Patológica	2006	0	1	0
205	0	Robbins y Cotran Atlas de Anatomía Patológica	2016	0	1	0
206	0	Pathology: The Big Picture	2008	0	1	10
207	0	Harrison Principios de Medicina Interna T1-2	2016	0	0	28
208	0	Color Atlas of Pathophysiology	2016	0	0	0
209	0	Introducción a la Medicina Clínica: Fisiopatología y Semiología	2015	0	0	2
210	0	Medicina Interna de Farreras Rozman T1-2	2016	0	0	12
211	0	Pathophysiology of Disease: An Introduction to Clinical Medicine	2014	0	0	0
212	0	Porth Fisiopatología. Alteraciones de la Salud. Conceptos Básicos	2014	0	0	1
213	0	Davidson's Principles & Practice of Medicine	2014	0	0	5
214	0	Manual de Patología General. Sisinio de Castro	2013	0	0	5
215	0	Rapid Review Pathology	2014	0	0	2
216	0	Robbins Patología Humana	2013	0	0	0
217	0	Robbins & Cotran Pathologic Basis of Disease (español)	2015	0	0	5
218	0	Compendio de Anatomía Patológica	1998	0	0	0
219	0	Essentials of Rubin's Pathology	2015	0	0	0
220	0	Rubin y Strayer Patología. Fundamentos Clinicopatológicos en Medicina	2017	0	0	10
221	0	Rubin's Pathology: Clinico-Pathological foundations of Medicine	2014	0	0	0
222	0	Anatomía Patológica	2001	0	0	0
223	0	Pathology BRS	2014	0	0	2
224	0	Bates Guía de Exploración Física e Historia Clínica	2013	0	1	5
225	0	Semiología Médica	2018	0	1	12
226	0	Core Radiology	2013	0	1	15
227	0	Semiología Médica: Fisiopatología, Semiotecnia y Propedéutica. Enseñanza-aprendizaje centrada en la persona	2013	0	0	10
228	0	Compendio de Anamnesis y Exploración Física	2014	0	0	2
229	0	Manual de Exploración Física: Basado en la Persona, el Síntoma y la Evidencia	2012	0	0	0
230	0	McLeod Exploración Clínica	2014	0	0	5
231	0	ECG en la Práctica	2014	0	0	5
232	0	ECG Fácil	2014	0	0	5
233	0	Radiología Básica: Aspectos Fundamentales	2016	0	0	8
234	0	Making Sence of the ECG: A Hands-On Guide	2014	0	0	5
235	0	Harrison Principios de Medicina Interna T1-2	2016	0	0	28
236	0	Manual de Razonamiento Clínico	2011	0	0	1
237	0	Laboratory Medicine Diagnosis of Disease in Clinical Laboratory	2014	0	0	0
238	0	Introducción a la Medicina Clínica: Fisiopatología y Semiología	2015	0	0	2
239	0	DeGowin's Diagnostic Examination	2015	0	0	2
240	0	Evidence Based Physical Diagnosis	2018	0	0	5
241	0	Mosby's Diagnostic & Laboratory Test Reference	2012	0	0	2
242	0	Manual de Patología General. Sisinio de Castro	2013	0	0	5
243	0	Exploración Clínica Práctica de Noguer-Balcells	2016	0	0	5
244	0	Medicina Interna de Farreras Rozman T1-2	2016	0	0	12
245	0	Radiology 101: The Basics and Fundamentals of Imaging	2014	0	0	0
246	0	Rubin's Pathology: Clínicopathological Foundations of Medicine (español)	2017	0	0	10
247	0	Semiología Médica y Técnica Exploratoria	2011	0	0	2
248	0	Textbook of Physical Diagnosis: History and Examination (5 en español)	2014	0	0	7
249	0	Principios de Neurociencia: Aplicaciones Básicas y Clínicas	2013	0	1	8
250	0	Principles of Neural Science	2013	0	1	5
251	0	Neurociencia: La Exploración del Cerebro	2016	0	0	2
252	0	Neuroanatomy Through Clinical Cases	2010	0	0	0
